location,primary_source,mistry_2021,prem_2021,prem_2017
Hong_Kong,prem_2021,False,True,True
Hungary,mistry_2021,True,True,True
Iceland,prem_2021,False,True,True
India,mistry_2021,True,True,True
India_Andaman_and_Nicobar_Islands,mistry_2021,True,False,False
India_Andhra_Pradesh,mistry_2021,True,False,False
India_Arunachal_Pradesh,mistry_2021,True,False,False
India_Assam,mistry_2021,True,False,False
India_Bihar,mistry_2021,True,False,False
India_Chhattisgarh,mistry_2021,True,False,False
India_Daman_and_Diu,mistry_2021,True,False,False
India_Goa,mistry_2021,True,False,False
India_Gujarat,mistry_2021,True,False,False
India_Haryana,mistry_2021,True,False,False
India_Himachal_Pradesh,mistry_2021,True,False,False
India_Jammu_and_Kashmir,mistry_2021,True,False,False
India_Jharkhand,mistry_2021,True,False,False
India_Karnataka,mistry_2021,True,False,False
India_Kerala,mistry_2021,True,False,False
India_Madhya_Pradesh,mistry_2021,True,False,False
India_Maharashtra,mistry_2021,True,False,False
India_Manipur,mistry_2021,True,False,False
India_Meghalaya,mistry_2021,True,False,False
India_Mizoram,mistry_2021,True,False,False
India_Nagaland,mistry_2021,True,False,False
India_Nct_of_Delhi,mistry_2021,True,False,False
India_Odisha,mistry_2021,True,False,False
India_Puducherry,mistry_2021,True,False,False
India_Punjab,mistry_2021,True,False,False
India_Rajasthan,mistry_2021,True,False,False
India_Sikkim,mistry_2021,True,False,False
India_Tamil_Nadu,mistry_2021,True,False,False
India_Tripura,mistry_2021,True,False,False
India_Uttar_Pradesh,mistry_2021,True,False,False
India_Uttarakhand,mistry_2021,True,False,False
India_West_Bengal,mistry_2021,True,False,False
Indonesia,prem_2021,False,True,True
Iran,prem_2021,False,True,True
Iraq,prem_2021,False,True,True
Ireland,mistry_2021,True,True,True
Israel,mistry_2021,True,True,True
Italy,mistry_2021,True,True,True
Jamaica,prem_2021,False,True,True
Japan,mistry_2021,True,False,True
Japan_Aichi-ken,mistry_2021,True,False,False
Japan_Akita-ken,mistry_2021,True,False,False
Japan_Aomori-ken,mistry_2021,True,False,False
Japan_Chiba-ken,mistry_2021,True,False,False
Japan_Ehime-ken,mistry_2021,True,False,False
Japan_Fukui-ken,mistry_2021,True,False,False
Japan_Fukuoka-ken,mistry_2021,True,False,False
Japan_Fukushima-ken,mistry_2021,True,False,False
Japan_Gifu-ken,mistry_2021,True,False,False
Japan_Gumma-ken,mistry_2021,True,False,False
Japan_Hiroshima-ken,mistry_2021,True,False,False
Japan_Hokkaido,mistry_2021,True,False,False
Japan_Hyogo-ken,mistry_2021,True,False,False
Japan_Ibaraki-ken,mistry_2021,True,False,False
Japan_Ishikawa-ken,mistry_2021,True,False,False
Japan_Iwate-ken,mistry_2021,True,False,False
Japan_Kagawa-ken,mistry_2021,True,False,False
Japan_Kagoshima-ken,mistry_2021,True,False,False
Japan_Kanagawa-ken,mistry_2021,True,False,False
Japan_Kochi-ken,mistry_2021,True,False,False
Japan_Kumamoto-ken,mistry_2021,True,False,False
Japan_Kyoto-fu,mistry_2021,True,False,False
Japan_Mie-ken,mistry_2021,True,False,False
Japan_Miyagi-ken,mistry_2021,True,False,False
Japan_Miyazaki-ken,mistry_2021,True,False,False
Japan_Nagano-ken,mistry_2021,True,False,False
Japan_Nagasaki-ken,mistry_2021,True,False,False
Japan_Nara-ken,mistry_2021,True,False,False
Japan_Niigata-ken,mistry_2021,True,False,False
Japan_Oita-ken,mistry_2021,True,False,False
Japan_Okayama-ken,mistry_2021,True,False,False
Japan_Okinawa-ken,mistry_2021,True,False,False
Japan_Osaka-fu,mistry_2021,True,False,False
Japan_Saga-ken,mistry_2021,True,False,False
Japan_Saitama-ken,mistry_2021,True,False,False
Japan_Shiga-ken,mistry_2021,True,False,False
Japan_Shimane-ken,mistry_2021,True,False,False
Japan_Shizuoka-ken,mistry_2021,True,False,False
Japan_Tochigi-ken,mistry_2021,True,False,False
Japan_Tokushima-ken,mistry_2021,True,False,False
Japan_Tokyo-to,mistry_2021,True,False,False
Japan_Tottori-ken,mistry_2021,True,False,False
