0.73582,0.50938,0.3227,0.23346,0.29538,0.41898,0.58481,0.64344,0.41985,0.24965,0.29708,0.30119,0.24725,0.19554,0.16014,0.14247
0.39324,0.82634,0.45267,0.26614,0.19414,0.32596,0.52932,0.6339,0.598,0.33523,0.27683,0.29893,0.25606,0.20155,0.17285,0.14341
0.28403,0.52111,1.04215,0.42965,0.21213,0.19888,0.2952,0.50875,0.62123,0.39786,0.30034,0.21179,0.19058,0.19511,0.18812,0.14331
0.20373,0.26103,0.42863,0.92841,0.3409,0.20729,0.17881,0.32346,0.46124,0.54468,0.46076,0.24948,0.19786,0.17247,0.15928,0.13898
0.24234,0.2102,0.21076,0.45127,0.97374,0.3792,0.20046,0.1663,0.26184,0.49404,0.46861,0.32407,0.18727,0.15067,0.14798,0.13687
0.40045,0.24192,0.17346,0.22959,0.39738,0.91689,0.35311,0.18222,0.16183,0.25309,0.45584,0.37112,0.25027,0.1716,0.1381,0.13717
0.53908,0.49769,0.28801,0.16839,0.20007,0.34705,0.88901,0.36512,0.21771,0.1664,0.22517,0.28824,0.28618,0.17027,0.15755,0.13555
0.57988,0.66017,0.49477,0.27913,0.15902,0.17466,0.30224,0.90551,0.32129,0.18967,0.19031,0.18976,0.24241,0.20339,0.17213,0.13551
0.35821,0.55117,0.56866,0.41877,0.2166,0.16401,0.21379,0.31705,0.73232,0.28872,0.20969,0.15227,0.19778,0.20434,0.16523,0.14296
0.20343,0.31373,0.38745,0.55454,0.4094,0.21198,0.16,0.21584,0.28112,0.70656,0.34761,0.19416,0.16464,0.15644,0.15986,0.15577
0.2329,0.21672,0.30566,0.4106,0.46447,0.3403,0.21725,0.17386,0.21652,0.31481,0.74108,0.33342,0.18154,0.15126,0.16,0.1591
0.2608,0.2548,0.21372,0.28066,0.33483,0.44107,0.38164,0.19937,0.17173,0.26876,0.40097,0.74662,0.31057,0.20989,0.14933,0.15391
0.31818,0.26359,0.2102,0.21782,0.23745,0.33149,0.47269,0.34858,0.22386,0.18667,0.26982,0.39076,0.70508,0.28175,0.18268,0.13613
0.242,0.2644,0.2336,0.19208,0.19442,0.2343,0.39544,0.41059,0.34683,0.2024,0.23867,0.30291,0.31457,0.62836,0.24997,0.14327
0.18188,0.25956,0.27227,0.24296,0.16359,0.22331,0.24663,0.35666,0.36135,0.30943,0.29722,0.2156,0.30498,0.2921,0.54403,0.2066
0.22307,0.23137,0.28473,0.27633,0.17778,0.1902,0.23912,0.32556,0.38374,0.42722,0.57111,0.34419,0.22326,0.2664,0.26937,0.25289
