date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,-11.0,-8.0,-34.0,-10.0,-3.0,2.0
2020-02-16,-9.0,-11.0,-41.0,-9.0,-4.0,1.0
2020-02-17,11.0,4.0,28.0,-3.0,-13.0,2.0
2020-02-18,4.0,-2.0,11.0,-4.0,-13.0,2.0
2020-02-19,3.0,-3.0,3.0,-5.0,-13.0,3.0
2020-02-20,2.0,-4.0,-4.0,-6.0,-13.0,3.0
2020-02-21,3.0,-1.0,10.0,-5.0,-14.0,3.0
2020-02-22,-4.0,-3.0,-7.0,-2.0,-1.0,0.0
2020-02-23,-1.0,-3.0,-9.0,1.0,-1.0,0.0
2020-02-24,-3.0,0.0,-1.0,-3.0,-1.0,1.0
2020-02-25,-1.0,2.0,5.0,0.0,1.0,0.0
2020-02-26,-2.0,0.0,11.0,-2.0,1.0,0.0
2020-02-27,0.0,-1.0,4.0,-1.0,0.0,1.0
2020-02-28,-2.0,-1.0,-9.0,-2.0,0.0,1.0
2020-02-29,-2.0,0.0,-21.0,-5.0,0.0,1.0
2020-03-01,9.0,4.0,24.0,5.0,1.0,-1.0
2020-03-02,2.0,6.0,15.0,-3.0,1.0,0.0
2020-03-03,-1.0,2.0,3.0,-4.0,1.0,0.0
2020-03-04,-3.0,1.0,-7.0,-4.0,0.0,1.0
2020-03-05,-9.0,-5.0,-21.0,-6.0,-1.0,2.0
2020-03-06,1.0,8.0,14.0,-3.0,0.0,1.0
2020-03-07,-2.0,3.0,-6.0,-4.0,1.0,0.0
2020-03-08,-1.0,3.0,-2.0,-4.0,0.0,0.0
2020-03-09,-3.0,6.0,3.0,-6.0,-1.0,1.0
2020-03-10,-6.0,7.0,-3.0,-7.0,-2.0,2.0
2020-03-11,-6.0,8.0,9.0,-10.0,-3.0,2.0
2020-03-12,-8.0,14.0,-3.0,-13.0,-5.0,3.0
2020-03-13,-13.0,15.0,-4.0,-18.0,-9.0,5.0
2020-03-14,-20.0,9.0,-17.0,-22.0,-4.0,4.0
