date,new_deaths,new_cases
2020-02-29,0,1
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,1
2020-03-04,0,5
2020-03-05,0,3
2020-03-06,0,8
2020-03-07,0,7
2020-03-08,0,21
2020-03-09,0,57
2020-03-10,0,69
2020-03-11,1,155
2020-03-12,0,355
2020-03-13,0,619
2020-03-14,3,642
2020-03-15,4,1034
2020-03-16,9,2121
2020-03-17,12,2451
2020-03-18,24,2971
2020-03-19,27,3706
2020-03-20,49,4007
2020-03-21,51,2639
2020-03-22,52,2580
2020-03-23,96,3570
2020-03-24,107,4497
2020-03-25,143,4874
2020-03-26,229,5045
2020-03-27,262,5119
2020-03-28,323,3479
2020-03-29,355,3560
2020-03-30,414,6129
2020-03-31,476,5458
2020-04-01,556,5448
2020-04-02,676,5746
2020-04-03,676,5670
2020-04-04,715,3866
2020-04-05,758,3782
2020-04-06,816,6353
2020-04-07,831,6044
2020-04-08,782,5575
2020-04-09,767,5070
2020-04-10,743,4510
2020-04-11,730,3732
2020-04-12,754,2887
2020-04-13,768,3311
2020-04-14,659,4144
2020-04-15,578,3876
2020-04-16,555,3530
2020-04-17,489,3586
2020-04-18,513,2172
2020-04-19,494,2343
2020-04-20,465,3792
2020-04-21,426,3061
2020-04-22,399,3446
2020-04-23,415,2841
2020-04-24,380,2535
2020-04-25,325,1595
2020-04-26,300,1003
2020-04-27,322,2290
2020-04-28,267,2726
2020-04-29,274,2339
2020-04-30,253,2021
2020-05-01,256,1887
2020-05-02,224,1058
2020-05-03,210,787
2020-05-04,195,1550
2020-05-05,169,1512
2020-05-06,182,1397
2020-05-07,159,1238
2020-05-08,155,1079
2020-05-09,110,657
2020-05-10,114,457
2020-05-11,120,1231
2020-05-12,108,1285
2020-05-13,92,1333
2020-05-14,86,1111
2020-05-15,98,873
2020-05-16,100,485
2020-05-17,89,360
2020-05-18,67,894
2020-05-19,64,1003
2020-05-20,84,1077
2020-05-21,51,1069
2020-05-22,79,1036
2020-05-23,64,455
2020-05-24,54,467
2020-05-25,53,464
2020-05-26,42,1050
2020-05-27,51,741
2020-05-28,41,646
2020-05-29,51,638
2020-05-30,56,346
2020-05-31,42,230
2020-06-01,39,686
2020-06-02,45,570
2020-06-03,45,515
2020-06-04,38,517
2020-06-05,31,402
2020-06-06,36,247
2020-06-07,29,197
2020-06-08,44,447
2020-06-09,33,419
2020-06-10,39,363
2020-06-11,26,363
2020-06-12,26,409
2020-06-13,17,196
2020-06-14,22,180
2020-06-15,20,380
2020-06-16,19,419
2020-06-17,21,356
2020-06-18,16,378
2020-06-19,16,361
2020-06-20,17,203
2020-06-21,22,172
2020-06-22,18,402
2020-06-23,19,381
2020-06-24,18,381
2020-06-25,16,298
2020-06-26,18,317
2020-06-27,17,206
2020-06-28,12,201
2020-06-29,19,437
2020-06-30,11,441
2020-07-01,10,396
2020-07-02,18,416
2020-07-03,12,233
2020-07-04,6,120
2020-07-05,9,155
2020-07-06,11,431
2020-07-07,7,461
2020-07-08,16,437
2020-07-09,5,392
2020-07-10,5,307
2020-07-11,9,259
2020-07-12,7,223
2020-07-13,15,483
2020-07-14,10,403
2020-07-15,14,439
2020-07-16,6,411
2020-07-17,10,413
2020-07-18,11,216
2020-07-19,10,176
2020-07-20,10,404
2020-07-21,6,341
2020-07-22,8,328
2020-07-23,8,309
2020-07-24,5,299
2020-07-25,11,153
2020-07-26,8,140
2020-07-27,3,313
2020-07-28,13,313
2020-07-29,5,287
2020-07-30,5,274
2020-07-31,4,262
2020-08-01,7,189
2020-08-02,2,135
2020-08-03,3,348
2020-08-04,5,187
2020-08-05,6,298
2020-08-06,6,288
2020-08-07,2,255
2020-08-08,4,160
2020-08-09,3,133
2020-08-10,5,312
2020-08-11,5,263
2020-08-12,3,320
2020-08-13,4,276
2020-08-14,4,277
2020-08-15,5,151
2020-08-16,5,140
2020-08-17,5,333
2020-08-18,2,283
2020-08-19,1,257
2020-08-20,6,227
2020-08-21,5,252
2020-08-22,7,136
2020-08-23,3,150
2020-08-24,8,297
2020-08-25,3,283
2020-08-26,7,313
2020-08-27,1,274
2020-08-28,6,280
2020-08-29,4,128
2020-08-30,6,186
2020-08-31,1,315
2020-09-01,3,294
2020-09-02,5,271
2020-09-03,3,273
2020-09-04,6,230
2020-09-05,3,156
2020-09-06,6,207
2020-09-07,0,217
2020-09-08,2,393
2020-09-09,2,353
2020-09-10,4,323
2020-09-11,6,313
2020-09-12,4,202
2020-09-13,3,263
2020-09-14,5,461
2020-09-15,5,415
2020-09-16,6,456
2020-09-17,3,441
2020-09-18,3,292
2020-09-19,5,217
2020-09-20,5,220
2020-09-21,3,558
2020-09-22,4,497
2020-09-23,5,612
2020-09-24,3,542
2020-09-25,5,463
2020-09-26,5,280
2020-09-27,4,382
2020-09-28,5,437
2020-09-29,6,723
2020-09-30,8,606
2020-10-01,7,705
2020-10-02,3,605
2020-10-03,6,299
2020-10-04,7,335
2020-10-05,0,766
2020-10-06,4,571
2020-10-07,4,541
2020-10-08,6,526
2020-10-09,2,524
2020-10-10,4,314
2020-10-11,7,281
2020-10-12,8,515
2020-10-13,5,588
2020-10-14,8,583
2020-10-15,9,603
2020-10-16,7,504
2020-10-17,5,366
2020-10-18,4,412
2020-10-19,8,626
2020-10-20,5,601
2020-10-21,6,654
2020-10-22,3,759
2020-10-23,5,601
2020-10-24,2,386
2020-10-25,10,362
2020-10-26,6,695
2020-10-27,9,742
2020-10-28,5,783
2020-10-29,4,621
2020-10-30,10,654
2020-10-31,4,403
2020-11-01,12,501
2020-11-02,9,953
2020-11-03,16,903
2020-11-04,9,1113
2020-11-05,10,1139
2020-11-06,11,1037
2020-11-07,13,845
2020-11-08,9,788
2020-11-09,6,1545
2020-11-10,7,1598
2020-11-11,9,1540
2020-11-12,16,1501
2020-11-13,6,1494
2020-11-14,11,1025
2020-11-15,14,896
2020-11-16,8,1832
2020-11-17,10,1730
2020-11-18,12,1753
2020-11-19,10,1857
2020-11-20,9,1773
2020-11-21,11,1290
2020-11-22,12,1148
2020-11-23,14,2317
2020-11-24,18,2074
2020-11-25,12,2371
2020-11-26,10,817
2020-11-27,16,2299
2020-11-28,14,1840
2020-11-29,15,1891
2020-11-30,20,2895
2020-12-01,24,3309
2020-12-02,26,3130
2020-12-03,20,2945
2020-12-04,28,2817
2020-12-05,26,1887
2020-12-06,22,1754
2020-12-07,21,3305
2020-12-08,23,3060
2020-12-09,29,3106
2020-12-10,28,3149
2020-12-11,31,2979
2020-12-12,34,2206
2020-12-13,32,2177
2020-12-14,30,3582
2020-12-15,34,3681
2020-12-16,42,2788
2020-12-17,39,1926
2020-12-18,41,3427
2020-12-19,33,2557
2020-12-20,34,2346
2020-12-21,46,4339
2020-12-22,55,4103
2020-12-23,42,3844
2020-12-24,43,3016
2020-12-25,40,1046
2020-12-26,39,3454
2020-12-27,48,2888
2020-12-28,45,5393
2020-12-29,53,5207
2020-12-30,45,4985
2020-12-31,42,3391
2021-01-01,41,1340
2021-01-02,62,4200
2021-01-03,43,3464
2021-01-04,65,6608
2021-01-05,73,6158
2021-01-06,66,5693
2021-01-07,56,5450
2021-01-08,64,5304
2021-01-09,73,3693
2021-01-10,56,3200
2021-01-11,61,5922
2021-01-12,78,5242
2021-01-13,72,5184
2021-01-14,70,5265
2021-01-15,69,4848
2021-01-16,71,3481
2021-01-17,59,2918
2021-01-18,79,4645
2021-01-19,88,5142
2021-01-20,80,4908
2021-01-21,69,4943
2021-01-22,87,4716
2021-01-23,85,3461
2021-01-24,74,2929
2021-01-25,71,5814
2021-01-26,86,4864
2021-01-27,95,5006
2021-01-28,90,4794
2021-01-29,90,3672
2021-01-30,84,2877
2021-01-31,76,2896
2021-02-01,66,979
2021-02-02,82,2659
2021-02-03,80,5145
2021-02-04,97,4852
2021-02-05,85,4160
2021-02-06,81,3080
2021-02-07,80,1645
2021-02-08,86,4431
2021-02-09,71,3734
2021-02-10,81,3779
2021-02-11,99,3417
2021-02-12,83,3315
2021-02-13,87,2209
2021-02-14,83,1895
2021-02-15,85,2861
2021-02-16,86,3723
2021-02-17,85,3435
2021-02-18,58,2049
2021-02-19,58,3019
2021-02-20,75,2494
2021-02-21,62,2286
2021-02-22,73,3625
2021-02-23,80,3473
2021-02-24,82,3464
2021-02-25,80,3481
2021-02-26,77,3241
2021-02-27,67,2018
2021-02-28,72,2038
2021-03-01,65,3728
2021-03-02,55,3108
2021-03-03,74,3245
2021-03-04,65,3119
2021-03-05,53,2887
2021-03-06,56,2041
2021-03-07,61,1876
2021-03-08,70,3401
2021-03-09,72,3343
2021-03-10,65,3205
2021-03-11,58,3107
2021-03-12,74,3205
2021-03-13,65,2174
2021-03-14,43,1928
2021-03-15,47,3394
2021-03-16,66,3196
2021-03-17,47,3175
2021-03-18,61,2923
2021-03-19,48,3041
2021-03-20,51,2162
2021-03-21,50,2094
2021-03-22,56,3882
2021-03-23,54,3256
2021-03-24,43,3454
2021-03-25,72,3798
2021-03-26,66,3415
2021-03-27,59,2219
2021-03-28,57,1750
2021-03-29,52,3558
2021-03-30,46,3186
2021-03-31,65,3186
2021-04-01,59,2865
2021-04-02,53,2623
2021-04-03,50,2049
2021-04-04,48,1466
2021-04-05,56,3271
2021-04-06,48,3005
2021-04-07,45,2764
2021-04-08,55,2576
2021-04-09,57,2466
2021-04-10,51,1724
2021-04-11,57,1315
2021-04-12,43,2537
2021-04-13,38,2366
2021-04-14,36,2241
2021-04-15,43,2017
2021-04-16,35,1830
2021-04-17,35,1276
2021-04-18,37,1050
2021-04-19,43,1886
2021-04-20,35,1607
2021-04-21,36,1423
2021-04-22,42,1359
2021-04-23,47,1288
2021-04-24,30,854
2021-04-25,26,755
2021-04-26,30,1372
2021-04-27,33,1138
2021-04-28,33,1210
2021-04-29,33,1053
2021-04-30,39,950
2021-05-01,33,578
2021-05-02,29,568
2021-05-03,24,935
2021-05-04,25,876
2021-05-05,27,778
2021-05-06,29,784
2021-05-07,35,715
2021-05-08,24,384
2021-05-09,28,343
2021-05-10,26,654
2021-05-11,22,628
2021-05-12,19,594
2021-05-13,24,516
2021-05-14,28,487
2021-05-15,12,292
2021-05-16,17,280
2021-05-17,16,452
2021-05-18,14,415
