age_group,ifr
0-4,7.499999999999999e-06
5-9,1.31e-05
10-14,2.3899999999999998e-05
15-19,4.3899999999999996e-05
20-24,8.04e-05
25-29,0.00014669999999999996
30-34,0.0002688
35-39,0.0004914
40-44,0.0008989
45-49,0.0016438999999999998
50-54,0.0030069000000000003
55-59,0.0055000000000000005
60-64,0.010060399999999999
65-69,0.0184013
70-74,0.0336582
75+,0.10496403697296625
