group_name,value
0,14282
1,16131
2,17691
3,17802
4,18889
5,19573
6,21186
7,22401
8,22471
9,22212
10,20955
11,20123
12,18801
13,18981
14,20575
15,22145
16,21402
17,20271
18,19503
19,18246
20,18622
21,17910
22,17405
23,18087
24,17148
25,16117
26,16340
27,16732
28,18059
29,19446
30,21103
31,24297
32,25070
33,26487
34,26878
35,27869
36,28401
37,28266
38,27234
39,27422
40,27678
41,25844
42,25105
43,24603
44,24320
45,24064
46,24604
47,25221
48,25610
49,25799
50,25738
51,26357
52,26775
53,26053
54,25337
55,25258
56,25021
57,25029
58,24401
59,25538
60,26148
61,26868
62,27447
63,27224
64,26510
65,26133
66,24918
67,23479
68,23008
69,21795
70,19876
71,19932
72,19524
73,18695
74,19370
75,17531
76,15761
77,13456
78,12280
79,12533
80,12752
81,13184
82,13381
83,12305
84+,64694
