group_name,value
0,934270
1,915812
2,893951
3,848690
4,802100
5,763713
6,724131
7,720466
8,720914
9,703041
10,665027
11,623786
12,611940
13,615092
14,622096
15,610093
16,574303
17,530184
18,507878
19,503818
20,491491
21,493161
22,489023
23,494957
24,510276
25,528616
26,556529
27,581705
28,599517
29,602784
30,620386
31,633283
32,634426
33,610744
34,588456
35,587185
36,595236
37,588561
38,562404
39,536925
40,503654
41,477762
42,456890
43,440859
44,423892
45,405909
46,399859
47,390255
48,381131
49,370943
50,359521
51,348332
52,336232
53,324681
54,313377
55,305150
56,304644
57,301128
58,300603
59,293299
60,284185
61,277774
62,262261
63,246869
64,227516
65,208745
66,193237
67,179844
68,166687
69,153112
70,141243
71,129690
72,118247
73,110099
74,84383
75,72287
76,62526
77,55112
78,49468
79,45125
80,41574
81,38580
82,35662
83,32723
84+,158413
